evidence_type,file/log/source,key finding,supports which claim,safe to cite in thesis,notes
OpenVPN server active,tools/run_openvpn_lab_demo.ps1 (lines 261–263),Script checks `ip a | grep 10.8.0.1` on the server VM and aborts unless tunnel IP 10.8.0.1 is present.,OpenVPN tunnel was active during demo runs,yes,"Confirms server-side tunnel IP, not the actual client connection."
Tunnel IP 10.8.0.1 (server),tools/run_openvpn_lab_demo.ps1 (lines 261–263),Hard assertion of `10.8.0.1` on server tun interface before HTTP server start.,Server end of the tunnel uses 10.8.0.1,yes,
Client tunnel IP,artifacts/runtime_schema_audit/openvpn_lab_diagnosis.md §3 + openvpn_lab_feature_inspection.md (unique IPs list),Captured flows include 28 TCP flows between 10.8.0.1 and 10.8.0.6 — indicates client tunnel IP 10.8.0.6.,Client received tunnel IP 10.8.0.6 during the recorded run,yes,"Derived from PCAP-extracted flows for vm_openvpn_lab_auto, not from a live `ip a` log."
HTTP server on 10.8.0.1:8000,tools/run_openvpn_lab_demo.ps1 (lines 265–336),Script launches `python3 -m http.server 8000 --bind 10.8.0.1` and serves small.bin / medium.bin / large.bin generated with dd.,HTTP file server bound to the tunnel address served the demo download traffic,yes,Falls back to `--bind 0.0.0.0` if the bind to 10.8.0.1 fails — log will show which.
tcpdump capture interface,tools/run_openvpn_lab_demo.ps1 (line 597),"Capture command is `sudo -n timeout $CaptureSeconds tcpdump -i any -w '$RemotePcap' -q` — i.e. interface `any`, no BPF filter.",Recorded PCAP contains a mixed capture (inner tun0 + outer NIC + SSH/NAT) rather than a tunnel-only or outer-only capture,yes,Linux SLL2 link type. Implies model sees decrypted inner traffic on tun0 alongside other flows.
PCAP file paths,"captures/ (vm_openvpn_lab*.pcap, vm_basic_benign.pcap, vm_warp.pcap, vm_vpnlike.pcap)","PCAPs present: vm_openvpn_lab.pcap, vm_openvpn_lab_auto.pcap, vm_openvpn_lab_auto_sample.pcap, vm_openvpn_lab_sample.pcap, vm_openvpn_lab_varied_sample.pcap.",Multiple OpenVPN lab captures exist on disk for the demo runs,yes,Raw PCAP bytes are not parsed here; existence and naming only.
PCAP → feature extraction logs,captures/vm_openvpn_lab*_features.csv + artifacts/runtime_schema_audit/openvpn_lab_feature_inspection.md,"Feature inspection records 34 flows extracted with 42 columns, 0 NaN, 0 Inf for vm_openvpn_lab_auto_features.csv.",PCAP-to-feature extraction completed without missing values for the auto run,yes,Schema used was `full_canonical_34` (legacy default at the time of capture).
Schema validation PASSED,artifacts/runtime_schema_audit/live_pcap_full_canonical_audit.md (Verdict A),"Verdict A — Live PCAP pipeline fully compatible with full_canonical__lgbm: 34/34 required features present, 0 missing, 0 NaN/Inf.",End-to-end schema validation passed for the full_canonical_34 schema on the captured data,yes,Does NOT cover the current default `unified_relative_shape_v2__lgbm` (12-feature schema).
Schema validation status — current default,registry.json::unified_relative_shape_v2__lgbm.warnings,"Registry records: ""No live PCAP validation performed. Extractor compatibility is schema-confirmed only.""",Live PCAP behavioural validation for the unified model is pending,yes,Use this to qualify any claim about live performance of the active model.
Model scores / action counts (OpenVPN lab),artifacts/runtime_schema_audit/openvpn_lab_diagnosis.md §2 + openvpn_lab_flow_scores.csv,"All 34 flows scored ~1e-8 to ~9.1e-7 (max), well below review threshold 0.027090 → 34/34 PASS, 0 FLAG_REVIEW, 0 SIMULATED_BLOCK.","Under the recorded capture (tcpdump -i any, mostly inner tunnel HTTP) the legacy default did not flag the traffic as VPN",yes,"Result is consistent with the capture-point caveat: model trained on encrypted-VPN-style flows, capture exposed inner HTTP."
Outer / encrypted VPN transport in capture,artifacts/runtime_schema_audit/openvpn_lab_diagnosis.md §3 + §6,Encrypted outer OpenVPN UDP transport (port 1194 or similar) was not prominently captured; one UDP flow 10.10.10.1→10.10.10.2 noted as 'possibly outer transport'.,The recorded capture did not strongly contain the OpenVPN wire protocol,yes (as 'possibly'),Do not assert that the outer transport was or wasn't captured beyond this log's hedged language.
Mixed traffic in capture (SSH/NAT/DNS),openvpn_lab_diagnosis.md §3 + openvpn_lab_feature_inspection.md (unique IPs/protocols),"Capture includes 10.0.2.15↔10.0.2.2 (VirtualBox NAT/SSH), 127.0.0.1↔127.0.0.53 (local DNS), and ICMP, alongside the inner tunnel HTTP.","Mixed capture diluting the VPN signal is observed, not hypothetical",yes,
Backend accepted batches,openvpn_lab_diagnosis.md §1 (pipeline status table),Row 'Backend accepted batches: ✅ 200 OK' — live-ingest endpoint accepted the streamed PCAP-derived batches.,The live-ingest contract is reachable end-to-end from a real PCAP,yes,
Thresholds applied (legacy default at time of audit),openvpn_lab_diagnosis.md §1 + openvpn_lab_feature_inspection.md model-config table,"Thresholds applied at audit time were review=0.027090, block=0.165365 for full_canonical__lgbm. (Current default unified model uses review=0.0367, block=0.425.)",Decisions used the documented thresholds; no ad-hoc tuning,yes,When citing 'current' thresholds always read them from registry.json / thresholds.json.
