model_id,status,status_reason,package_dir,source_artifact,alias_of,threshold_source,selected_probability_column,selected_aggregation,strict_test_fpr,strict_test_recall,balanced_test_fpr,balanced_test_recall,session_auc_test,any_overlap_detected,recommended_action_mode,warnings
robust9_firewall,default_firewall,All policy files generated; session policy available; no flow_id/capture_id overlap; feature order recovered.,backend/model_registry/robust9_firewall,artifacts/ensemble/diverse_bagging_robust9,,,prob_iso,p80,0.0,0.9090909090909091,0.0,0.9090909090909091,0.9991087344028521,,simulation,[]
balanced_bagging_3ds_reference,policy_computed,Thresholds recomputed from validation; persisted thresholds not adopted.,backend/model_registry/balanced_bagging_3ds_reference,artifacts/balanced_bagging_firewall_tuned_ensemble,,recomputed_from_validation,prob_raw,wt5,0.0,0.4,0.0,0.4,0.9504950495049506,False,simulation,"[""comparison-only, not deployment-approved""]"
balanced_bagging_3ds_refresh,alias,Source artifact is byte-identical to balanced_bagging_firewall_tuned_ensemble (verified by SHA-256 over all files).,backend/model_registry/balanced_bagging_3ds_refresh,artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,balanced_bagging_3ds_reference,,,,,,,,,,simulation,[]
clean_pooled_benchmark,policy_computed,Thresholds recomputed from clean_pipeline val parquet; comparison-only.,backend/model_registry/clean_pooled_benchmark,artifacts/clean_pipeline/models,,recomputed_from_validation,ensemble_score,p80,0.125,1.0,0.0,0.7313432835820896,0.9987562189054726,False,simulation,"[""comparison-only, not deployment-approved""]"
twentyone_feature_experimental,unsupported,"No recoverable 21-feature artifact exists in the workspace. Inspected artifacts/clean_pipeline/feature_columns.json (9 features) and artifacts/features/feature_columns.json (7 features). No 21-feature model file, predictions file, or feature manifest was located. Per task constraints, no feature order is invented.",backend/model_registry/twentyone_feature_experimental,,,,,,,,,,,,simulation,"[""No recoverable 21-feature artifact exists in the workspace. Inspected artifacts/clean_pipeline/feature_columns.json (9 features) and artifacts/features/feature_columns.json (7 features). No 21-feature model file, predictions file, or feature manifest was located. Per task constraints, no feature order is invented.""]"
single_model_fallback,policy_computed,Thresholds recomputed from clean_pipeline val parquet; comparison-only.,backend/model_registry/single_model_fallback,artifacts/clean_pipeline/models,,recomputed_from_validation,xgb_score,p80,0.041666666666666664,1.0,0.0,0.7761194029850746,1.0,False,simulation,"[""comparison-only, not deployment-approved""]"
lodo_hold_iscx,negative_control,Negative control / LODO stress-test model. Not deployable.,backend/model_registry/lodo_hold_iscx,artifacts/lood_firewall_tuned/hold_iscx,,recomputed_from_validation,prob_iso,p80,0.0,0.0,0.0,0.0,0.5622965374371116,False,report_only,"[""Negative control / LODO stress-test model. Not deployable.""]"
lodo_hold_usbvpn,negative_control,Negative control / LODO stress-test model. Not deployable.,backend/model_registry/lodo_hold_usbvpn,artifacts/lood_firewall_tuned/hold_usbvpn,,recomputed_from_validation,prob_platt,wt5,0.0,0.043478260869565216,0.0,0.043478260869565216,0.8134321612582481,False,report_only,"[""Negative control / LODO stress-test model. Not deployable.""]"
lodo_hold_vnat,negative_control,Negative control / LODO stress-test model. Not deployable.,backend/model_registry/lodo_hold_vnat,artifacts/lood_firewall_tuned/hold_vnat,,recomputed_from_validation,prob_platt,p80,0.0,0.0,0.0,0.0,0.17590361445783131,False,report_only,"[""Negative control / LODO stress-test model. Not deployable.""]"
balanced_bagging_xgb_baseline,policy_computed,Thresholds recomputed from validation; comparison-only.,backend/model_registry/balanced_bagging_xgb_baseline,artifacts/balanced_bagging_xgb,,recomputed_from_validation,prob_raw,wt5,0.0,0.09090909090909091,0.0,0.6818181818181818,0.9710338680926917,True,simulation,"[""comparison-only, not deployment-approved""]"
balanced_bagging_baseline,policy_computed,Thresholds recomputed from validation; comparison-only.,backend/model_registry/balanced_bagging_baseline,artifacts/balanced_bagging,,recomputed_from_validation,prob_raw,p80,0.0,0.2,0.0,0.2,0.9306930693069306,True,simulation,"[""comparison-only, not deployment-approved""]"
balanced_bagging_tuned_baseline,policy_computed,Thresholds recomputed from validation; comparison-only.,backend/model_registry/balanced_bagging_tuned_baseline,artifacts/balanced_bagging_tuned,,recomputed_from_validation,prob_iso,wt5,0.00980392156862745,0.18181818181818182,0.00980392156862745,0.18181818181818182,0.9679144385026739,True,simulation,"[""comparison-only, not deployment-approved""]"
robust13_comparison,policy_computed,Thresholds recomputed from validation; comparison-only.,backend/model_registry/robust13_comparison,artifacts/ensemble/diverse_bagging_robust13,,recomputed_from_validation,prob_platt,wt5,0.0,0.09090909090909091,0.0,0.7272727272727273,0.9389483065953654,True,simulation,"[""comparison-only, not deployment-approved""]"
historical_3ds_degraded,alias,Historical/degraded snapshot of the 3DS reference. Predictions are byte-identical. Not deployable.,backend/model_registry/historical_3ds_degraded,artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,balanced_bagging_3ds_reference,,,,,,,,,,report_only,"[""historical/degraded artifact; predictions duplicate existing 3DS reference; not deployable.""]"
