page_component,file,purpose,backend_endpoints_used,runtime_model_used,safety_wording_shown,notes
Dashboard,pages/Dashboard.jsx,System overview: API status active model LODO metrics domain fingerprinting performance metrics,/health /models/default /model-details/frontend-content /model-details/cards,unified_relative_shape_v2__lgbm (display only; no inference run),Simulation only -- no packets are blocked. (WarningBox); Production Ready: false,SIMULATION ONLY EXECUTABLE badges. Warns ECE is high. Limitation notes listed.
Live VM -- CSV Replay tab,pages/LiveVM.jsx + pages/LiveVMReplay.jsx,Step-by-step CSV replay: upload flow-feature CSV advance row-by-row view session decisions,/firewall/live-replay/upload /firewall/live-replay/step /firewall/live-replay/reset /firewall/live-replay/state /firewall/live-replay/template /model-details/frontend-content,unified_relative_shape_v2__lgbm (12-feature LightGBM executable),Simulation only -- no real packets are blocked. Feature schema info panel with SIMULATION ONLY badge,Accepts only unified_relative_shape_v2 CSV schema (12 features). Template download available.
Live VM -- PCAP Monitor tab,pages/LiveVM.jsx + pages/LiveVMMonitor.jsx,Monitor live PCAP-derived flow batches from tools/pcap_to_live_stream.py; near-real-time session decisions,/firewall/live-ingest/state /firewall/live-ingest/reset /model-details/frontend-content,unified_relative_shape_v2__lgbm (12-feature LightGBM executable),SIMULATION ONLY badge; pcap_validation_status WARNING; simulation_only_warning from page content,Does not POST /firewall/live-ingest directly -- that is done by the external pcap_to_live_stream.py tool.
Models -- Model Cards tab,pages/Models.jsx + pages/ModelCards.jsx,Rich model cards: why selected metrics caveats feature formulas for all registered models,/model-details/cards /model-details/features /model-details/frontend-content,No inference run (display only),Cards include simulation/comparison badges; why_selected and caveats per model,
Models -- Registry tab,pages/Models.jsx + pages/ModelRegistry.jsx,Raw model registry metadata: role artifact path probability column status allowlist membership,/models /models/ui-groups /firewall/runtime-models /firewall/runtime-required-features,No inference run (display only),Runtime models table shows executable=true/false and comparison_only flags,
Models -- Comparison tab,pages/Models.jsx + pages/ModelComparison.jsx,Legacy benchmark comparison: run selected legacy models on bundled or uploaded CSV,/benchmark/legacy/models /benchmark/legacy/bundled /benchmark/compare /model-details/benchmark-compatibility,Legacy models only (full_canonical__lgbm robust9_firewall balanced_bagging_*). unified_relative_shape_v2__lgbm excluded.,WarningBox: benchmark-only; does not affect firewall decisions,unified_relative_shape_v2__lgbm hard-rejected by API if selected (HTTP 400).
Robustness,pages/Robustness.jsx,LODO AUC domain fingerprinting progression deployment checklist what-is-not-solved,/models/robustness-controls /model-details/frontend-content,No inference run (display only),Deployment blockers listed; domain fingerprinting AUC bars; LODO negative-control interpretation,LODO-ISCX=0.6366 (near-random). Hardcoded limitation notes shown to user.
Demo Runner,pages/DemoRunner.jsx,Launch and monitor local PowerShell demo scripts (VM PCAP capture + ingest pipeline),/demo/allowed /demo/run/{name} /demo/jobs /demo/jobs/{job_id} /demo/jobs/{job_id}/cancel,No direct inference (scripts feed into live-ingest pipeline),Safety note: local thesis demo only; scripts hard-coded; not arbitrary command execution,Only runs tools/run_vm_pcap_demo.ps1 and tools/run_openvpn_lab_demo.ps1 via fixed allowlist.
FirewallDemo / CSV Evaluation,pages/FirewallDemo.jsx,Run bundled demo CSV or upload CSV for inference with executable model; view session table,/firewall/demo /firewall/analyze-csv /firewall/multimodel-demo /firewall/analyze-csv-multimodel /model-details/frontend-content,unified_relative_shape_v2__lgbm (executable),Simulation only warning; SIMULATED_BLOCK label used in session table,
SimulationNotice (component),components/SimulationNotice.jsx,Reusable banner: all decisions are simulation-only,none,N/A,This is a simulation -- no packets are blocked.,Rendered on Live VM and FirewallDemo pages.
WarningBox (component),components/WarningBox.jsx,Reusable warning/info/error box,none,N/A,Carries simulation and deployment-boundary warnings throughout the app,
